config_id,run,rmse_initial,rmse_final,rmse_gen200,rmse_gen400,rmse_gen600,rmse_gen800,elapsed_sec
sel_roulette__xo_one_point__mut_gaussian,1,98.0778,52.5027,64.7711,57.8551,54.896,52.5027,83.9
sel_roulette__xo_one_point__mut_gaussian,2,92.2856,51.8013,60.6474,54.9286,53.0397,51.8013,83.5
sel_roulette__xo_one_point__mut_gaussian,3,94.0352,48.6502,57.5325,53.2122,50.6378,48.6502,85.2
sel_roulette__xo_one_point__mut_gaussian,4,96.9987,47.6404,59.3501,52.5461,49.3916,47.6404,87.6
sel_roulette__xo_one_point__mut_gaussian,5,97.8896,50.4856,57.6994,53.6454,51.4607,50.4856,82.7
sel_roulette__xo_one_point__mut_gaussian,6,90.8145,52.1091,57.4252,53.8794,53.0233,52.1091,84.3
sel_roulette__xo_one_point__mut_gaussian,7,94.9705,51.1506,58.3642,53.9067,52.1046,51.1506,84.7
sel_roulette__xo_one_point__mut_gaussian,8,91.1421,50.6666,59.6066,54.0928,52.4303,50.6666,86.5
sel_roulette__xo_one_point__mut_gaussian,9,87.2435,52.2854,63.1167,55.9262,54.0707,52.2854,85.2
sel_roulette__xo_one_point__mut_gaussian,10,88.184,53.6502,58.7521,56.2528,54.2807,53.6502,85.0
sel_roulette__xo_one_point__mut_random_reset,1,102.6103,60.8568,64.9937,62.8666,61.6954,60.8568,81.3
sel_roulette__xo_one_point__mut_random_reset,2,93.2592,60.7006,62.7628,61.6386,61.1995,60.7006,82.3
sel_roulette__xo_one_point__mut_random_reset,3,92.4874,60.5068,67.3159,63.5234,61.6021,60.5068,81.6
sel_roulette__xo_one_point__mut_random_reset,4,100.763,59.8236,64.1335,61.5908,60.963,59.8236,81.6
sel_roulette__xo_one_point__mut_random_reset,5,94.9196,57.4624,61.1504,58.4023,57.7778,57.4624,81.8
sel_roulette__xo_one_point__mut_random_reset,6,104.8181,58.7009,67.5128,64.7371,61.2843,58.7009,82.7
sel_roulette__xo_one_point__mut_random_reset,7,109.8747,58.3485,65.8647,63.8049,60.7179,58.3485,82.0
sel_roulette__xo_one_point__mut_random_reset,8,91.1133,58.2976,64.0944,62.5507,60.1155,58.2976,82.3
sel_roulette__xo_one_point__mut_random_reset,9,83.6981,53.8388,62.8591,58.4632,57.3246,53.8388,82.4
sel_roulette__xo_one_point__mut_random_reset,10,93.8743,59.091,65.783,64.2117,60.5005,59.091,82.4
sel_roulette__xo_two_point__mut_gaussian,1,103.3886,51.2284,61.3569,55.6575,52.8992,51.2284,86.4
sel_roulette__xo_two_point__mut_gaussian,2,85.0665,50.1129,57.061,53.1532,51.6994,50.1129,83.9
sel_roulette__xo_two_point__mut_gaussian,3,95.7364,48.3408,56.2204,51.6395,49.5089,48.3408,81.9
sel_roulette__xo_two_point__mut_gaussian,4,95.4336,49.1756,58.0259,52.8253,50.745,49.1756,84.5
sel_roulette__xo_two_point__mut_gaussian,5,104.9309,48.8401,57.8972,52.5407,50.1846,48.8401,85.7
sel_roulette__xo_two_point__mut_gaussian,6,97.3099,51.5045,59.7494,55.2936,53.3665,51.5045,85.5
sel_roulette__xo_two_point__mut_gaussian,7,103.5829,45.818,52.3513,47.5787,46.4241,45.818,85.1
sel_roulette__xo_two_point__mut_gaussian,8,89.9681,50.6955,57.2767,54.1043,52.5407,50.6955,86.2
sel_roulette__xo_two_point__mut_gaussian,9,96.5386,49.0949,60.5802,55.2615,51.7057,49.0949,85.0
sel_roulette__xo_two_point__mut_gaussian,10,97.0194,49.1399,58.2716,54.0673,51.4453,49.1399,85.9
sel_roulette__xo_two_point__mut_random_reset,1,89.3253,56.2013,61.7217,58.2655,56.9391,56.2013,83.0
sel_roulette__xo_two_point__mut_random_reset,2,99.6603,59.1122,64.6785,61.8642,59.925,59.1122,82.4
sel_roulette__xo_two_point__mut_random_reset,3,93.4391,57.5481,64.6919,61.0843,57.9799,57.5481,83.0
